,label,youtube_id,time_start,time_end,split
17,tap dancing,--6q_33gNew,132,142,train
142,breakdancing,-0AFA2OVzn0,19,29,train
166,belly dancing,-0L4z8D2eGs,43,53,train
179,tap dancing,-0SUZKVInwE,81,91,train
298,dancing charleston,-1KtlEOx78I,9,19,train
299,dancing ballet,-1Kv095GbV8,0,10,train
312,square dancing,-1TmA7jvoBQ,136,146,train
327,dancing charleston,-1_m2Igd2Yc,209,219,train
356,breakdancing,-1taDykxZwQ,176,186,train
367,jumpstyle dancing,-1yjdvpuk6I,15,25,train
398,belly dancing,-2JgjPsy4Eo,77,87,train
400,dancing ballet,-2KEkl93snA,96,106,train
506,salsa dancing,-3FihEVl-R8,26,36,train
575,jumpstyle dancing,-3lSf8-QCow,20,30,train
596,robot dancing,-3uzSAz60BQ,0,10,train
652,country line dancing,-4HzfnOtVeI,150,160,train
677,jumpstyle dancing,-4aFe_kvUaI,202,212,train
694,robot dancing,-4hbj9ZTCIc,20,30,train
695,country line dancing,-4hw_9qTcSk,16,26,train
711,tap dancing,-4r6VLqGeK4,106,116,train
731,breakdancing,-54-4pEYATY,92,102,train
744,robot dancing,-59dBjAyYyE,48,58,train
801,dancing ballet,-5Yp-vToI2E,90,100,train
918,country line dancing,-6Xq1psvDW0,71,81,train
933,dancing macarena,-6hsbWBHZrE,13,23,train
1042,dancing macarena,-7__u70jRAg,40,50,train
1068,mosh pit dancing,-7kBVsJ5bDY,15,25,train
1088,belly dancing,-7tDxxH2g6I,16,26,train
1113,dancing gangnam style,-80j1rHPDGk,0,10,train
1125,mosh pit dancing,-87nn_xb9h4,81,91,train
1180,swing dancing,-8a--G_BC7s,10,20,train
1210,breakdancing,-8snoM0IJ68,198,208,train
1265,mosh pit dancing,-9N39otwJl8,22,32,train
1336,tap dancing,-A-VnQIVFLo,122,132,train
1339,tango dancing,-A1hobVvozo,161,171,train
1350,breakdancing,-A6-ubbxy3w,54,64,train
1363,robot dancing,-ADLGQ4KR0U,19,29,train
1467,country line dancing,-B3ugc7t7aU,0,10,train
1489,tap dancing,-BH7z1yUQQE,42,52,train
1527,dancing macarena,-Bj-Z0TmpCQ,62,72,train
1591,salsa dancing,-CHYvPQSQwQ,152,162,train
1621,tap dancing,-CXeDiTndgY,0,10,train
1685,robot dancing,-Cz6CxT3FME,82,92,train
1717,robot dancing,-DHv1OxT1mY,51,61,train
1791,dancing gangnam style,-Dy57X8lNro,50,60,train
1799,tango dancing,-E1Pn2Wr_pw,63,73,train
1810,country line dancing,-E8Hy-2zIrs,37,47,train
1811,dancing charleston,-E8jrCQ3fhE,19,29,train
1835,robot dancing,-ELLDKQWTos,28,38,train
1842,square dancing,-EQiDEeiOBw,99,109,train
1924,robot dancing,-FJ4MNnJu3k,107,117,train
1993,mosh pit dancing,-FlmGrXekFk,73,83,train
2068,swing dancing,-GMjIMwQbZY,53,63,train
2075,tap dancing,-GQHeAoBDuQ,3,13,train
2082,country line dancing,-GWX9zBdmCw,17,27,train
2096,tango dancing,-GbpR355DCM,162,172,train
2141,dancing macarena,-H2Ej2rFWfk,4,14,train
2184,tango dancing,-HTEbymhQHY,50,60,train
2191,dancing macarena,-HYfm8teSyQ,0,10,train
2207,robot dancing,-HkV3zIyRhQ,3,13,train
2266,tango dancing,-IEiJoNUEw4,84,94,train
2283,breakdancing,-IS9CSDhqfA,69,79,train
2316,robot dancing,-IhBg_bfydQ,23,33,train
2334,dancing charleston,-IrDRBAYw6M,42,52,train
2359,dancing charleston,-J6snxXBSAc,127,137,train
2435,belly dancing,-Jn0eYzs0HY,203,213,train
2480,belly dancing,-KE9zHM2PPE,191,201,train
2486,dancing charleston,-KGSLTHQTh4,84,94,train
2505,tango dancing,-KSenkRK0EE,47,57,train
2570,tango dancing,-L1EgBsU3Tk,111,121,train
2584,breakdancing,-L6HSKDolBQ,2,12,train
2622,salsa dancing,-LRAy-ZDujU,145,155,train
2624,dancing ballet,-LSZk-kC-Nk,104,114,train
2633,jumpstyle dancing,-LVOf40Dbqg,109,119,train
2767,dancing charleston,-Ml2rkk6l6o,106,116,train
2830,tango dancing,-N5M98rR9AY,319,329,train
2848,dancing macarena,-NE4uod348M,206,216,train
2858,swing dancing,-NJK2KRJqlQ,17,27,train
2904,salsa dancing,-NYvR9wYuNk,135,145,train
2965,dancing gangnam style,-O0mBf-MsxE,23,33,train
2977,jumpstyle dancing,-O60ZiHoP24,28,38,train
3002,tap dancing,-OPuI0ngwqI,62,72,train
3048,dancing charleston,-OoGOfXlexk,19,29,train
3060,dancing charleston,-OvJ6k9vi0I,13,23,train
3097,robot dancing,-PCg8GP1I2E,128,138,train
3114,dancing gangnam style,-PMG_RNHaQE,204,214,train
3177,tap dancing,-Py356M6sPI,81,91,train
3220,mosh pit dancing,-QLgWy2qB_E,14,24,train
3232,dancing charleston,-QTbCH2oOKc,114,124,train
3296,dancing charleston,-Qw4kMRwH8s,129,139,train
3384,mosh pit dancing,-ReLKbU_Xa8,65,75,train
3403,dancing charleston,-Rpdgk9keZU,31,41,train
3438,dancing gangnam style,-S7s8fqYspc,24,34,train
3445,mosh pit dancing,-SDy1wLQ6CQ,8,18,train
3467,tap dancing,-SWLyUn-o0s,37,47,train
3506,dancing charleston,-SsRQe7_4ao,113,123,train
3555,dancing charleston,-TNUHZx_b5I,17,27,train
3618,jumpstyle dancing,-TzMH0fW5Rw,15,25,train
