,label,youtube_id,time_start,time_end,split
168,belly dancing,-UI8AJgs0nI,3,13,validate
242,country line dancing,-kmP2XzLzxI,173,183,validate
274,country line dancing,-qvq4rwzhq8,166,176,validate
366,country line dancing,09yfRViqqeI,208,218,validate
369,country line dancing,0AfgAUo6KQQ,56,66,validate
424,belly dancing,0QHFsMT93_k,178,188,validate
433,country line dancing,0Stbj1momXk,77,87,validate
551,country line dancing,142MeeyvcT8,17,27,validate
593,country line dancing,1Gx5Y3ULWJo,168,178,validate
1104,country line dancing,4cBLYiF57CQ,128,138,validate
1138,belly dancing,4okxWH6PYdA,38,48,validate
1339,country line dancing,5eZzjU7wJFM,40,50,validate
1363,belly dancing,5kY7ovvDm0E,52,62,validate
1399,country line dancing,5t8Ass7FqBI,1,11,validate
1414,belly dancing,5wiuPs3JFxs,242,252,validate
1523,tap dancing,6DXNSR3jUQc,24,34,validate
1561,tap dancing,6JHijqutcvQ,13,23,validate
1594,tap dancing,6MrlX9vRd08,5,15,validate
1637,tap dancing,6QYqwkRSOZ0,15,25,validate
1743,tap dancing,6cZ5nPWfBjw,4,14,validate
1793,tap dancing,6kdyYVpL0fg,0,10,validate
1803,tap dancing,6mLlK1ed6ec,43,53,validate
1845,tap dancing,6rMRE7psvgs,84,94,validate
1846,tap dancing,6rO-OsLU-kg,5,15,validate
1981,belly dancing,74sg2aVwnAI,53,63,validate
2020,tap dancing,78_Y15tJ3bY,53,63,validate
2042,tap dancing,7AOCRM43qPo,19,29,validate
2072,tap dancing,7D582WY2Et4,145,155,validate
2079,tap dancing,7DW4y9IopYI,2,12,validate
2117,tap dancing,7G0BYp4gHHU,0,10,validate
2132,tap dancing,7H95RHj1wRE,51,61,validate
2204,breakdancing,7N61AG-VxPM,5,15,validate
2264,breakdancing,7TEI2h7-hQc,95,105,validate
2273,breakdancing,7TTUfdxjMwQ,120,130,validate
2314,belly dancing,7Wt3y2-hehY,15,25,validate
2393,tap dancing,7csDGk0Cmgs,107,117,validate
2472,tap dancing,7j8DS1YoQwQ,167,177,validate
2546,tap dancing,7omUjezjgbs,61,71,validate
2637,breakdancing,7wNd8nYTy44,243,253,validate
2715,tap dancing,81aaCeCdpWU,115,125,validate
2772,breakdancing,853tAN23J8Y,13,23,validate
2789,breakdancing,86E5e-glJmk,436,446,validate
2817,breakdancing,88CUC63F_WY,3,13,validate
2832,tap dancing,88yjDJdkKEY,29,39,validate
2838,breakdancing,89gRoGVT7MU,22,32,validate
2847,tap dancing,89w1jSbmQvM,29,39,validate
2861,tap dancing,8AK8i6zLZmk,0,10,validate
2873,tap dancing,8Ah7blripug,9,19,validate
2879,tap dancing,8AzoKiS_FPY,65,75,validate
2898,tap dancing,8COXEn_fedw,15,25,validate
2909,breakdancing,8D98Nnlkhv4,101,111,validate
2933,country line dancing,8EIvBEBmfGo,120,130,validate
2995,breakdancing,8Hkp0Qm-bOk,206,216,validate
3004,breakdancing,8IHqg1JCEfo,97,107,validate
3020,breakdancing,8JcevmWiIZw,42,52,validate
3037,tap dancing,8Kiv6Vgiw5E,33,43,validate
3123,belly dancing,8QQPn9VRTuw,85,95,validate
3167,breakdancing,8Sy-GfQfcX0,30,40,validate
3272,tap dancing,8bti0q2e4sw,47,57,validate
3318,breakdancing,8ehiL2RYsNI,8,18,validate
3433,breakdancing,8lm4C9dwvfk,111,121,validate
3478,tap dancing,8noqYz7EWQQ,128,138,validate
3483,breakdancing,8nxEMN_o2ZI,81,91,validate
3510,breakdancing,8pzoOXs0VVM,1,11,validate
3521,country line dancing,8qkMoIaDyKc,713,723,validate
3528,breakdancing,8rIzrwTX_uk,130,140,validate
3549,tap dancing,8s-9VSn9nO0,100,110,validate
3567,breakdancing,8sgNfFkFwhE,18,28,validate
3601,belly dancing,8uLfHKo7C7M,63,73,validate
3764,breakdancing,93Ve6KAEE_8,2,12,validate
3767,breakdancing,93am_Bmc6Q4,46,56,validate
3817,breakdancing,95Y6Li9tdOg,15,25,validate
3850,breakdancing,97cWwojE4oI,29,39,validate
3855,breakdancing,97nnq658ud8,57,67,validate
3886,belly dancing,992eQYtVEbU,97,107,validate
3978,breakdancing,9DGtLFyB4_k,22,32,validate
3999,breakdancing,9EaylcOtNp0,0,10,validate
4002,breakdancing,9Extk9_O5UE,11,21,validate
4111,breakdancing,9L__YqyKj_w,46,56,validate
4146,breakdancing,9OHwK5SEFGs,220,230,validate
4147,breakdancing,9ONLBSPqMtI,5,15,validate
4193,breakdancing,9R7BhokHHLw,73,83,validate
4194,breakdancing,9RS1EF7FUKc,63,73,validate
